Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,AB,G,AVG,wOBA,xWOBA,2B,HR,K%,BB%,ExitVel,Air EV,90thExitVel,MinMxExitVel,LaunchAng,LA10-30%,EV95+LA10-30%,Swing%,InZoneSwing%,Z-Contact%,Chase%,SwStrk%,Miss vs 93+ FB,xSLG vs 93+ FB,Miss vs 83+Spin,xSLG vs 83+ Spin,O-Contact%,HardHit%,Contact%
578,1342167540,B. Bakes,Brayden Bakes,Bakes,Brayden,P,Illinois State University,ILST,730258944,Illinois State,BBC,L,R,697,166,0,0.313,0.408,0.289,10,8,14.40%,13.40%,86.9,87.5,101.9,109.9,10,28.20%,14.50%,42.50%,70.30%,84.90%,17.60%,9.90%,-,0.16,25.00%,0.269,46.60%,32%,76.70%
579,1343189705,E. Miller,Ethan Miller,Miller,Ethan,C,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,325,121,1,0.347,0.408,0.351,9,4,11.80%,8.30%,81.3,80.9,90.9,97.8,17.4,35.30%,5.90%,48.60%,62.00%,91.20%,29.70%,4.00%,-,-,100.00%,-,74.10%,12%,91.80%
580,1310789888,H. Autrey,Hunter Autrey,Autrey,Hunter,LF,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,L,R,981,206,0,0.325,0.408,0.334,12,9,14.70%,14.30%,87.5,87.9,104.1,108.3,5.8,37.30%,23.90%,41.80%,66.00%,89.00%,24.00%,9.40%,11.80%,0.511,0.00%,0.266,49.30%,49%,77.60%
581,1263556864,N. Husovsky,Nick Husovsky,Husovsky,Nick,2B,Ball State University,BALL,730195456,Ball State,BBC,R,R,912,231,0,0.338,0.408,0.288,17,10,16.10%,8.80%,88.1,87.5,101,104.9,12.1,21.10%,12.30%,51.40%,77.00%,85.60%,23.00%,10.00%,0.00%,-,20.00%,0.2,59.10%,42%,80.60%
582,1323961088,A. Soldra,AJ Soldra,Soldra,AJ,CF,Seton Hall University,HALL,730272512,Seton Hall,BBC,L,L,1017,218,0,0.33,0.407,0.335,12,4,17.40%,11.60%,86.9,89.4,104.1,109.8,9.9,37.30%,22.70%,47.70%,76.70%,84.50%,23.90%,10.00%,28.60%,0.31,16.70%,0.584,63.70%,40%,79.00%
583,1191396608,C. Raile,Cole Raile,Raile,Cole,P,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,1064,201,0,0.264,0.407,0.349,8,14,27.40%,14.30%,89.2,88.3,106.2,110.4,14.3,31.90%,20.40%,36.40%,61.70%,84.20%,18.10%,9.90%,22.20%,0.225,50.00%,0.2,45.40%,46%,72.90%
584,1544322135,B. Corn,Brayden Corn,Corn,Brayden,CF,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,1001,221,0,0.312,0.407,0.35,13,11,19.40%,9.90%,87,92.7,104,108.8,4.8,34.40%,20.00%,42.70%,68.00%,87.60%,22.20%,9.40%,18.20%,0.236,45.00%,0.249,54.30%,45%,78.00%
585,1896537632,B. Harrison,Bear Harrison,Harrison,Bear,C,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,748,138,0,0.254,0.407,0.378,7,10,23.30%,15.00%,90.4,91.4,104.6,108.3,23.2,39.50%,22.10%,37.20%,61.40%,78.80%,20.20%,11.10%,30.00%,0.266,50.00%,0.435,51.10%,49%,70.10%
586,1085407744,J. Goodman,Jack Goodman,Goodman,Jack,SS,Northeastern University,NE,343,Northeastern,BBC,R,R,874,204,0,0.333,0.407,0.343,11,10,20.90%,11.10%,91.8,92.8,106.3,109.3,13.8,19.10%,10.30%,42.20%,62.40%,84.80%,23.90%,10.50%,6.70%,0.402,33.30%,0.381,51.90%,54%,75.10%
587,1330097152,D. West,Dean West,West,Dean,LF,UCLA,UCLA,5048,UCLA,BBC,L,R,1330,247,0,0.32,0.407,0.323,12,4,9.00%,15.20%,83.2,85.9,99.4,103.7,8.3,29.00%,10.50%,35.90%,55.60%,94.00%,16.10%,3.70%,5.60%,0.278,30.80%,0.094,74.30%,27%,89.70%
