Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,AB,G,AVG,wOBA,xWOBA,2B,HR,K%,BB%,ExitVel,Air EV,90thExitVel,MinMxExitVel,LaunchAng,LA10-30%,EV95+LA10-30%,Swing%,InZoneSwing%,Z-Contact%,Chase%,SwStrk%,Miss vs 93+ FB,xSLG vs 93+ FB,Miss vs 83+Spin,xSLG vs 83+ Spin,O-Contact%,HardHit%,Contact%
1,1279221760,C. Thibodeaux,Cardell Thibodeaux,Thibodeaux,Cardell,LF,Southern University,SOU,4767,Southern,BBC,L,L,843,189,0,0.439,0.567,0.311,13,18,11.30%,16.40%,85,86,100,101.9,8.9,25.00%,20.00%,39.50%,61.90%,84.40%,15.90%,7.20%,71.40%,0.006,0.00%,-,61.70%,30%,81.70%
2,1238179072,L. Devenport,Logen Devenport,Devenport,Logen,CF,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,869,169,0,0.42,0.544,0.386,19,14,19.10%,14.90%,88,89.8,105.7,108.4,15,30.80%,11.50%,36.10%,55.10%,88.60%,23.30%,7.60%,16.70%,0.534,0.00%,0.233,62.10%,37%,79.00%
3,1204866561,K. Durschlag,Konni Durschlag,Durschlag,Konni,CF,High Point University,HP,730321152,High Point,BBC,R,R,1106,221,0,0.43,0.535,0.435,23,15,12.00%,13.80%,93.6,91.8,108,113,13.9,34.80%,23.20%,36.20%,56.00%,88.00%,20.80%,6.10%,46.40%,0.291,33.30%,0.447,72.50%,53%,83.30%
4,1162533632,C. Nickens,Cameron Nickens,Nickens,Cameron,LF,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,1055,236,0,0.419,0.53,0.384,24,18,9.60%,16.00%,93.4,93.7,107.4,114.9,7.4,27.40%,23.60%,39.80%,67.50%,88.90%,19.50%,6.70%,22.20%,0.322,28.60%,0.256,67.90%,58%,83.10%
5,1204444928,R. Zaborowski,Ryland Zaborowski,Zaborowski,Ryland,1B,University of Georgia,UGA,226,Georgia,BBC,R,R,693,146,0,0.37,0.528,0.442,10,17,21.70%,15.80%,94.9,98,107.6,110.4,15.7,37.90%,28.70%,41.60%,69.20%,82.50%,20.90%,10.80%,32.40%,0.365,27.80%,0.495,52.60%,62%,74.00%
6,1213817600,J. Bay,John Bay,Bay,John,CF,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,1102,224,0,0.357,0.522,0.412,16,22,21.10%,16.30%,93.6,94.8,110.9,114.7,8.5,33.30%,27.50%,40.60%,68.60%,79.30%,22.10%,12.70%,30.80%,0.195,85.00%,0.016,45.50%,62%,68.70%
7,1122150400,K. Fossum,Kyle Fossum,Fossum,Kyle,RF,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,1097,220,0,0.382,0.52,0.402,18,23,19.30%,16.80%,93,96.6,108.6,115.5,12.6,34.20%,21.90%,41.10%,63.20%,78.60%,27.60%,10.50%,11.10%,0.204,44.40%,0.608,63.60%,55%,74.50%
8,1153726208,B. Simpson,Brayden Simpson,Simpson,Brayden,3B,High Point University,HP,730321152,High Point,BBC,R,R,1062,234,0,0.389,0.517,0.45,24,22,16.50%,8.60%,93.1,95.1,108.4,113.1,15.8,36.20%,25.80%,42.80%,67.40%,84.70%,22.80%,8.70%,50.00%,0.259,42.90%,0.04,65.90%,53%,79.80%
9,1257458688,C. Tinney,Carson Tinney,Tinney,Carson,C,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,858,158,0,0.348,0.516,0.487,13,17,19.50%,16.60%,95.8,96.8,111.2,115.6,14.7,34.30%,26.90%,39.30%,64.20%,79.30%,20.80%,12.00%,26.30%,0.77,50.00%,0.834,46.00%,58%,69.40%
10,1274480640,J. Quinn-Irons,James Quinn-Irons,Quinn-Irons,James,CF,George Mason University,GMU,730265088,George Mason,BBC,R,R,1088,242,0,0.413,0.516,0.378,23,16,15.40%,13.10%,89.8,91.4,110,116.4,9.9,30.10%,21.30%,41.70%,66.90%,89.70%,25.90%,9.00%,30.80%,0.468,35.70%,0.173,56.90%,48%,78.40%
11,1132702208,B. Smith,Boston Smith,Smith,Boston,C,Wright State University,WRST,5390,Wright State,BBC,L,R,1119,209,0,0.33,0.514,0.457,9,26,18.40%,20.20%,92.7,97.5,107.7,116.2,17.3,34.00%,23.60%,39.70%,67.50%,79.60%,19.20%,10.30%,30.80%,0.518,30.00%,1.531,60.70%,55%,74.10%
12,1866053969,H. Jatczak,Hayden Jatczak,Jatczak,Hayden,3B,Kent State University,KENT,730315008,Kent State,BBC,R,R,1086,213,0,0.376,0.514,0.405,28,16,13.80%,17.10%,93.8,92.1,105.9,109.4,13.4,26.60%,17.20%,37.60%,57.80%,86.30%,21.40%,6.60%,10.00%,0.288,0.00%,0.121,71.30%,55%,82.40%
13,1299973888,J. Casey,Jake Casey,Casey,Jake,RF,Kent State University,KENT,730315008,Kent State,BBC,L,R,1016,208,0,0.356,0.512,0.421,20,17,20.80%,13.80%,92.7,94,109.7,114,20.1,25.90%,19.00%,42.10%,63.00%,84.20%,23.40%,11.90%,20.00%,0.597,33.30%,1.156,47.80%,60%,71.70%
14,1310856448,A. Fischer,Andrew Fischer,Fischer,Andrew,1B,University of Tennessee,TENN,730153728,Tennessee,BBC,L,R,1249,217,0,0.341,0.51,0.418,16,25,14.40%,21.60%,93.4,96.1,106.6,109.7,20.2,38.60%,30.40%,39.20%,69.60%,83.70%,18.30%,8.90%,30.00%,0.371,36.70%,0.307,59.50%,60%,77.30%
15,1088451584,A. DePino,Anthony DePino,DePino,Anthony,3B,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,1170,226,0,0.354,0.508,0.456,21,20,14.00%,19.10%,93.1,95.2,111.1,114.7,10.8,32.00%,24.20%,37.60%,63.30%,85.20%,18.00%,8.20%,33.30%,0.08,37.50%,0.785,58.80%,57%,78.20%
16,1196789504,D. Wyers,Drew Wyers,Wyers,Drew,3B,Bryant University,BRY,730266880,Bryant,BBC,R,R,682,150,0,0.393,0.507,0.409,11,11,8.80%,13.40%,84.9,87.6,103.7,109.1,11.9,23.10%,11.00%,41.60%,69.60%,86.90%,20.10%,6.00%,0.00%,0.076,20.00%,0.19,81.10%,34%,85.60%
17,1310781952,K. Freeman,Kaleb Freeman,Freeman,Kaleb,2B,Georgia State University,GAST,730239744,Georgia State,BBC,S,R,1176,209,0,0.349,0.506,0.397,28,16,20.70%,22.10%,93.7,94.9,106.1,111.2,15,34.80%,28.30%,30.80%,54.20%,84.80%,13.10%,7.10%,7.10%,0.388,42.90%,0.176,56.10%,59%,77.10%
18,1281476864,A. Redahan,Aidan Redahan,Redahan,Aidan,1B,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,L,R,812,201,0,0.453,0.505,0.358,17,9,5.10%,10.70%,83.6,87.1,98.9,104.8,4,19.00%,9.50%,36.50%,50.90%,95.40%,17.20%,2.10%,0.00%,-,100.00%,-,85.50%,29%,94.30%
19,1122512640,B. Calloway,Bryce Calloway,Calloway,Bryce,TWP,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,952,205,20,0.39,0.504,0.362,10,18,24.60%,12.70%,91.2,93.4,107.6,112.5,10.8,29.60%,21.00%,42.00%,66.40%,76.40%,23.90%,12.70%,42.90%,0.108,56.30%,0.445,52.10%,52%,69.80%
20,1259966976,A. Robbins,Aiden Robbins,Robbins,Aiden,RF,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,952,204,0,0.422,0.504,0.379,19,6,12.50%,17.30%,91.5,92,107.1,109.8,8.4,34.20%,23.40%,42.20%,72.60%,86.30%,20.20%,8.60%,12.50%,0.38,50.00%,0.032,63.60%,48%,79.60%
21,1137012284,J. Oriach,Jordy Oriach,Oriach,Jordy,LF,University of New Mexico,UNM,730153472,New Mexico,BBC,L,L,984,214,0,0.388,0.503,0.435,25,16,11.50%,11.50%,90.8,89,106.5,112.1,12.8,35.80%,22.30%,43.00%,63.00%,90.40%,28.20%,7.30%,7.70%,0.248,0.00%,0.215,70.90%,52%,83.00%
22,1206686464,C. Torres,Cooper Torres,Torres,Cooper,2B,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,1007,225,0,0.364,0.502,0.401,15,23,18.70%,14.20%,90.2,90.4,106.3,111.1,9.6,34.60%,25.30%,41.00%,68.80%,83.70%,18.00%,8.50%,44.40%,0.129,57.10%,0.019,63.90%,50%,79.20%
23,1287473664,R. Daniels,Ryan Daniels,Daniels,Ryan,2B,University of Connecticut,CONN,5486,Connecticut,BBC,L,R,940,203,0,0.365,0.502,0.415,15,18,16.30%,15.90%,88.6,90.8,106.2,112.3,16.4,38.60%,22.10%,43.30%,74.30%,82.90%,18.10%,9.30%,35.70%,0.057,21.40%,0.467,65.20%,46%,78.60%
24,1310843392,R. Velazquez,Raymond Velazquez,Velazquez,Raymond,3B,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,845,172,0,0.36,0.501,0.409,9,18,14.90%,14.90%,88.7,89.6,105.8,111.1,19.1,40.40%,26.90%,36.70%,62.00%,86.90%,19.90%,7.50%,36.40%,0.369,25.00%,0.786,60.90%,47%,79.70%
25,1225722624,B. Parker,Ben Parker,Parker,Ben,CF,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,980,231,0,0.407,0.5,0.383,23,11,12.10%,11.00%,90.2,93.2,105.4,112.2,8.7,34.00%,22.00%,44.50%,71.20%,86.50%,23.40%,8.00%,7.70%,0.371,37.50%,0.44,75.00%,46%,82.10%
26,1207476224,J. Sweeney,Johnny Sweeney,Sweeney,Johnny,1B,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,L,R,1023,194,0,0.345,0.498,0.414,15,18,17.70%,16.20%,89.4,88.8,107.5,114.5,11.3,33.30%,18.80%,36.60%,58.10%,84.90%,21.20%,8.20%,8.30%,0.13,25.00%,0.438,63.30%,44%,77.50%
27,1192538624,D. Taylor,Devin Taylor,Taylor,Devin,LF,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,R,1049,214,0,0.374,0.497,0.408,13,18,11.20%,19.30%,93.9,96.3,106.6,111.9,7.1,32.50%,26.50%,39.50%,67.00%,85.90%,16.90%,7.20%,22.70%,1.125,33.30%,0.233,67.00%,59%,81.60%
28,1174874880,J. Tiroly,Joe Tiroly,Tiroly,Joe,2B,Rider University,RID,730174976,Rider,BBC,R,R,829,197,0,0.365,0.496,0.368,16,17,10.60%,14.50%,94.8,96.9,108.9,112.3,14.4,37.50%,34.40%,42.80%,67.80%,86.40%,17.30%,7.10%,0.00%,0.207,0.00%,1.519,66.00%,56%,83.40%
29,1301047808,E. Ott,Ethan Ott,Ott,Ethan,1B,University of New Mexico,UNM,730153472,New Mexico,BBC,R,R,794,190,0,0.363,0.495,0.479,22,16,21.90%,11.80%,92,96.5,108.7,111.9,14.9,40.50%,30.20%,43.60%,75.20%,83.50%,20.90%,11.70%,0.00%,1.478,25.00%,0.881,45.20%,51%,73.10%
30,1297576704,C. Canon,Cider Canon,Canon,Cider,RF,Davidson College,DAV,730363136,Davidson,BBC,R,R,837,202,0,0.371,0.495,0.43,16,17,19.70%,11.70%,90.8,90.8,106.6,113.8,14.1,34.50%,24.40%,45.80%,71.60%,81.60%,26.20%,11.80%,50.00%,0.642,20.00%,0.187,55.50%,53%,74.20%
31,1123959166,D. Garcia,Damien Garcia,Garcia,Damien,1B,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,575,155,0,0.342,0.495,0.303,12,14,14.80%,11.60%,84.5,95.4,104.2,104.4,8.9,26.70%,13.30%,41.00%,56.90%,84.10%,22.80%,8.30%,0.00%,-,25.00%,0.369,52.00%,33%,79.70%
32,1176027648,A. Raygoza,Armani Raygoza,Raygoza,Armani,1B,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,L,R,935,211,0,0.384,0.494,0.348,17,17,16.20%,10.90%,91,96,106.2,110.5,7.3,32.70%,24.50%,48.10%,71.20%,82.20%,29.80%,11.70%,28.60%,0.117,37.50%,1.399,63.30%,53%,75.80%
33,1108462592,K. Cross,Kerrington Cross,Cross,Kerrington,3B,University of Cincinnati,CIN,5465,Cincinnati,BBC,R,R,1140,207,0,0.396,0.492,0.409,10,12,12.80%,18.30%,91.5,92.1,104.7,108.9,15.8,37.40%,25.70%,38.70%,68.70%,84.90%,14.80%,8.10%,17.90%,0.206,46.90%,0.201,55.60%,55%,79.10%
34,1251440384,J. McAlister,Josh McAlister,McAlister,Josh,2B,University of New Mexico,UNM,730153472,New Mexico,BBC,R,R,752,171,0,0.368,0.492,0.438,9,17,24.50%,10.50%,91.3,93.9,106.5,113,9.8,33.00%,19.00%,45.30%,68.20%,78.30%,24.70%,13.00%,-,-,50.00%,0.195,56.70%,46%,71.30%
35,1196798464,I. Irish,Ike Irish,Irish,Ike,RF,Auburn University,AUB,5466,Auburn,BBC,L,R,985,214,0,0.364,0.491,0.387,13,19,14.30%,12.80%,94.5,94.9,107.4,113.9,8.8,27.10%,20.60%,41.00%,63.50%,81.50%,23.30%,8.30%,29.80%,0.632,21.40%,0.375,75.60%,60%,79.70%
36,1139915009,B. Garner,Bradley Garner,Garner,Bradley,RF,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,972,199,0,0.387,0.49,0.405,20,10,15.60%,16.00%,85,85.5,103.2,106.5,10.9,35.10%,19.80%,38.20%,61.90%,86.10%,21.50%,6.60%,18.20%,0.072,40.00%,0.108,74.80%,40%,82.70%
37,1782180961,B. OBrien,Brady OBrien,OBrien,Brady,3B,University of Richmond,RICH,730171904,Richmond,BBC,R,R,903,202,0,0.366,0.49,0.341,19,20,19.10%,9.60%,92.5,93,107.2,112.9,10.9,40.40%,32.20%,39.50%,64.10%,89.90%,20.20%,6.50%,0.00%,0,41.20%,0.404,66.00%,56%,83.50%
38,1173758464,T. Rutledge,Trey Rutledge,Rutledge,Trey,CF,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,520,126,0,0.397,0.488,0.374,7,1,7.70%,20.30%,81.9,84,97.6,101.9,7.4,31.30%,0.00%,32.50%,49.30%,95.80%,13.80%,2.10%,50.00%,0,0.00%,-,77.30%,19%,93.50%
39,1500574460,B. Ballinger,Brady Ballinger,Ballinger,Brady,1B,University of Kansas,KU,730360064,Kansas,BBC,L,L,1201,224,0,0.353,0.487,0.402,21,16,15.20%,19.40%,89.9,94.7,106.1,111.9,15.2,39.50%,27.00%,36.60%,60.10%,85.20%,20.10%,7.30%,29.00%,0.271,31.60%,0.253,67.90%,50%,80.00%
40,1263439360,R. Burnett,Robbie Burnett,Burnett,Robbie,RF,University of Georgia,UGA,226,Georgia,BBC,L,R,1034,192,0,0.307,0.487,0.407,12,20,20.30%,16.40%,88.7,91.4,102.5,108.6,21.8,35.60%,20.30%,40.70%,65.70%,79.70%,22.00%,11.00%,28.00%,0.241,50.00%,0.445,55.30%,40%,72.90%
41,1330771712,R. Cholowsky,Roch Cholowsky,Cholowsky,Roch,SS,UCLA,UCLA,5048,UCLA,BBC,R,R,1113,252,0,0.353,0.487,0.4,19,23,9.30%,13.90%,91.5,91.2,106.5,112.1,13.4,36.00%,28.00%,43.10%,70.20%,89.00%,24.20%,7.90%,23.50%,0.397,20.00%,0.284,64.30%,54%,81.70%
42,1193185792,L. Sutter,Logan Sutter,Sutter,Logan,1B,Purdue University,PUR,730353152,Purdue,BBC,R,R,904,196,0,0.367,0.487,0.394,22,15,19.40%,14.90%,92.3,96,106.3,111.4,10.5,37.30%,27.80%,42.00%,72.60%,81.70%,19.90%,11.80%,41.20%,0.167,23.10%,0.137,41.40%,55%,71.80%
43,1236944640,A. Lodise,Alex Lodise,Lodise,Alex,SS,Florida State University,FSU,101,Florida State,BBC,R,R,994,241,0,0.394,0.486,0.364,18,17,20.00%,9.80%,93.5,94.9,107.5,113,12,33.00%,24.40%,52.80%,82.10%,81.50%,33.50%,14.20%,32.10%,0.328,39.70%,0.326,58.40%,52%,73.10%
44,1086580736,E. Madrigal,Eddie Madrigal,Madrigal,Eddie,1B,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,L,R,1009,242,0,0.368,0.486,0.374,13,21,12.00%,9.60%,87.9,89.4,101.6,107.6,16.1,34.60%,19.20%,46.10%,76.60%,89.60%,24.40%,9.30%,8.70%,0.547,40.00%,0.149,58.70%,39%,79.80%
45,1336577280,C. Hacopian,Christopher Hacopian,Hacopian,Christopher,SS,University of Maryland-College Park,MD,730172928,Maryland,BBC,R,R,918,193,0,0.373,0.485,0.433,11,14,7.60%,16.10%,93.2,91.2,107.8,111.9,12.7,31.10%,23.60%,37.10%,63.00%,89.40%,18.40%,5.70%,0.00%,0.34,40.00%,1.209,75.00%,57%,84.80%
46,1332977920,M. O'Shaughnessy,Michael O'Shaughnessy,O'Shaughnessy,Michael,3B,Davidson College,DAV,730363136,Davidson,BBC,L,R,1025,218,0,0.367,0.484,0.403,19,17,17.90%,10.60%,92.1,91.8,105.1,110.5,19.1,38.30%,22.60%,43.00%,68.40%,88.30%,23.30%,9.60%,9.10%,0.56,33.30%,0.315,51.20%,54%,77.80%
47,1099815424,J. Gurevitch,Jack Gurevitch,Gurevitch,Jack,1B,University of San Diego,USD,5320,San Diego,BBC,R,R,1050,229,0,0.371,0.484,0.35,16,17,15.50%,12.60%,93.6,92.1,110.2,117.2,8.5,28.80%,19.20%,46.00%,77.80%,87.70%,24.80%,10.00%,24.20%,0.335,53.80%,0.086,57.20%,51%,78.30%
48,1238200064,J. Cruz,Juan Cruz,Cruz,Juan,1B,Alabama State University,ALST,4765,Alabama State,BBC,R,R,855,255,0,0.42,0.484,0.36,23,14,7.40%,11.10%,88.6,87,104.1,109.1,11.5,30.60%,20.70%,51.30%,79.70%,89.90%,34.40%,7.80%,30.00%,0.165,50.00%,0.268,72.70%,46%,84.70%
49,1342169853,S. Campbell,Scott Campbell,Campbell,Scott,RF,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,R,R,809,188,0,0.394,0.483,0.33,11,11,10.70%,8.50%,87.9,88.2,106,115.5,12,18.80%,12.80%,46.20%,70.40%,87.30%,26.10%,9.10%,15.40%,0.252,25.00%,0.094,64.30%,44%,80.20%
50,1142570752,E. King Jr.,Eddie King Jr.,King Jr.,Eddie,RF,University of Louisville,LOU,5467,Louisville,BBC,R,R,877,189,0,0.365,0.483,0.364,19,17,17.00%,9.40%,92.6,94.7,106.7,111.2,12.4,37.60%,29.30%,48.00%,73.90%,80.70%,28.80%,14.30%,33.30%,0.249,31.60%,0.497,50.30%,59%,70.30%
51,1245915136,T. Minick,Tyler Minick,Minick,Tyler,3B,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,908,214,0,0.355,0.483,0.376,11,22,16.70%,11.90%,90.8,94.8,106.7,110.7,7.4,26.10%,20.30%,46.10%,74.10%,82.60%,25.60%,10.40%,25.00%,0.211,30.80%,0.838,67.90%,51%,77.60%
52,1083259648,B. Ankeney,Beau Ankeney,Ankeney,Beau,1B,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,1047,229,0,0.358,0.483,0.407,13,22,19.30%,10.90%,89.8,91.1,109.1,115,16.4,31.00%,21.10%,43.80%,69.20%,81.50%,26.50%,11.50%,23.80%,0.555,39.30%,0.069,59.50%,49%,73.90%
53,1310792960,S. Guerra,Sergio Guerra,Guerra,Sergio,C,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,595,144,0,0.354,0.482,0.355,14,12,18.60%,9.90%,89,88.7,101.5,104,18.7,39.50%,28.90%,47.70%,70.60%,87.70%,26.10%,10.10%,6.70%,0.485,60.00%,0.461,49.30%,53%,78.90%
54,1162555136,R. Brome,Ryan Brome,Brome,Ryan,1B,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,L,R,762,155,0,0.355,0.482,0.367,11,12,15.70%,14.60%,87.2,88.4,102.2,105.7,20.8,30.50%,14.70%,44.40%,74.80%,80.00%,22.90%,11.00%,25.00%,0.417,38.90%,0.649,63.70%,35%,75.10%
55,1162316032,M. DiMartini,Michael DiMartini,DiMartini,Michael,CF,University of Dayton,DAY,730194688,Dayton,BBC,R,R,989,238,0,0.403,0.481,0.365,11,14,18.50%,9.80%,91.4,89.5,107.9,111.1,7.5,33.70%,17.80%,50.30%,75.20%,77.00%,30.60%,15.50%,53.80%,0.173,50.00%,0.048,50.60%,51%,69.20%
56,1314887424,D. Burress,Drew Burress,Burress,Drew,CF,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,1165,228,0,0.333,0.481,0.389,23,19,14.50%,18.30%,91.3,90.7,106.9,110.8,18.8,26.70%,20.00%,36.80%,62.60%,86.80%,19.50%,7.40%,15.60%,0.262,36.40%,0.438,64.70%,51%,80.00%
57,1202675968,P. Keighran,Patrick Keighran,Keighran,Patrick,3B,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,817,155,0,0.348,0.481,0.339,14,12,26.40%,12.40%,87.7,89.7,102.9,107.8,19.9,26.50%,13.30%,39.90%,64.80%,87.20%,21.30%,9.80%,66.70%,0.043,50.00%,0.064,51.60%,40%,75.50%
58,1113915136,C. Higgs,Conor Higgs,Higgs,Conor,LF,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,L,L,924,197,0,0.355,0.481,0.352,12,16,20.20%,11.30%,90.1,95.8,106.5,110.4,13.8,26.30%,18.00%,44.00%,65.70%,82.00%,28.10%,10.90%,28.00%,0.073,31.80%,0.237,63.40%,52%,75.20%
59,1236375552,H. Feinberg,Harrison Feinberg,Feinberg,Harrison,LF,Northeastern University,NE,343,Northeastern,BBC,R,R,1005,208,0,0.365,0.479,0.393,14,18,16.30%,13.60%,95.9,98.7,108.9,112.2,6,36.10%,27.90%,41.40%,64.30%,81.70%,23.00%,11.30%,30.80%,0.53,33.30%,0.13,50.40%,61%,72.60%
60,1167173120,M. Whitcomb,Mack Whitcomb,Whitcomb,Mack,C,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,948,211,0,0.36,0.478,0.36,12,15,16.90%,13.50%,90.2,92.6,103.9,110.5,11.6,29.50%,18.20%,40.40%,67.70%,87.60%,20.40%,9.00%,0.00%,0.967,33.30%,0.658,49.30%,45%,77.80%
61,1207887104,G. Wright,Garrett Wright,Wright,Garrett,C,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,813,202,0,0.396,0.478,0.304,20,8,8.80%,9.20%,86.4,87.7,104.1,105.9,5.5,23.40%,9.40%,49.40%,72.50%,89.90%,33.60%,8.50%,60.00%,0,0.00%,-,67.10%,34%,82.80%
62,1306879489,D. Ruiz,Damian Ruiz,Ruiz,Damian,RF,Lamar University,LAM,730162432,Lamar,BBC,R,R,1052,214,0,0.388,0.478,0.345,22,7,9.90%,18.20%,86.9,87,100.9,105.1,9.5,27.30%,13.60%,38.40%,63.20%,88.60%,17.10%,6.70%,13.30%,0.174,26.70%,0.404,62.10%,28%,82.70%
63,1088072448,J. Hogart,Jonathan Hogart,Hogart,Jonathan,CF,Murray State University,MURR,730188032,Murray State,BBC,R,R,1225,260,0,0.338,0.477,0.36,26,22,17.00%,12.20%,92.7,93.8,105.4,108.7,9.4,31.20%,21.50%,39.90%,64.70%,84.00%,20.90%,8.70%,45.00%,0.356,53.80%,0.086,54.00%,54%,78.10%
64,1202704384,N. Rodriguez,Nick Rodriguez,Rodriguez,Nick,2B,Missouri State University,MOSU,5382,Missouri State,BBC,L,R,966,228,0,0.368,0.477,0.355,22,18,13.50%,12.40%,92.1,92.9,105.7,109.8,12.3,35.80%,24.50%,48.20%,77.70%,84.90%,28.10%,9.00%,13.80%,0.33,44.40%,0.377,72.30%,55%,81.30%
65,1269477888,J. Arcamone,Jack Arcamone,Arcamone,Jack,C,University of Richmond,RICH,730171904,Richmond,BBC,L,R,959,198,0,0.354,0.475,0.366,22,13,23.60%,15.70%,92.9,95.8,108.1,111,13.6,40.80%,31.70%,42.20%,74.30%,81.80%,20.50%,9.90%,20.00%,0.562,40.00%,0.278,59.40%,56%,76.50%
66,1297491200,N. Sullivan,Noah Sullivan,Sullivan,Noah,P,Mississippi State University,MSST,5080,Mississippi State,BBC,R,R,1039,203,7,0.345,0.475,0.364,16,15,16.50%,13.70%,90.6,89.1,104.9,111.2,13.8,35.20%,25.40%,37.30%,56.20%,87.70%,20.30%,6.70%,25.00%,0.607,36.20%,0.142,69.40%,48%,82.00%
67,1243623168,A. Ungar,Alex Ungar,Ungar,Alex,RF,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,794,193,0,0.358,0.474,0.369,24,13,10.00%,11.80%,89.6,89.5,108.8,111.4,9.3,29.20%,20.80%,46.30%,67.70%,87.40%,24.70%,8.40%,-,0,100.00%,0,63.00%,46%,81.80%
68,1263647744,J. Thorbahn,Jack Thorbahn,Thorbahn,Jack,1B,Stonehill College,SC,730238464,Stonehill,BBC,L,R,821,187,0,0.326,0.474,0.338,12,16,21.30%,17.90%,89.7,97.5,105.8,110.3,13,38.20%,20.60%,41.30%,70.80%,78.30%,22.20%,12.50%,25.00%,0.287,0.00%,0.786,36.30%,41%,69.60%
69,1251446272,K. Hayes,Kyle Hayes,Hayes,Kyle,1B,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,825,168,0,0.363,0.474,0.352,16,10,13.60%,14.10%,91.1,90.7,107.2,112.1,10.1,27.50%,20.40%,38.80%,59.70%,87.40%,23.80%,7.90%,26.70%,0.164,33.30%,0.222,65.50%,54%,79.70%
70,1278204928,D. Pacella,Daniel Pacella,Pacella,Daniel,LF,Illinois State University,ILST,730258944,Illinois State,BBC,L,L,918,231,0,0.355,0.474,0.39,19,20,18.70%,11.20%,94,96.7,106.8,111.7,12.2,35.00%,25.20%,47.50%,74.30%,81.90%,28.60%,13.30%,0.00%,0.574,36.40%,0.506,55.80%,57%,72.00%
71,1123979264,J. Moroknek,Jack Moroknek,Moroknek,Jack,RF,Butler University,BUT,730283520,Butler,BBC,L,R,935,219,0,0.37,0.473,0.308,16,18,16.20%,10.30%,91.6,89.5,109.4,118.2,8,22.10%,10.50%,45.10%,65.70%,84.90%,29.80%,8.70%,16.70%,0.217,0.00%,0.339,74.10%,47%,80.80%
72,1126276608,D. Cuvet,Daniel Cuvet,Cuvet,Daniel,3B,University of Miami,MIA,236,Miami,BBC,R,R,1012,226,0,0.372,0.473,0.334,20,18,19.00%,11.20%,93,93.9,106.8,111.4,13.3,29.50%,20.50%,54.10%,84.20%,81.30%,35.50%,14.20%,28.00%,0.371,36.80%,0.355,60.60%,55%,73.70%
73,1155640832,N. Humphreys,Nathan Humphreys,Humphreys,Nathan,CF,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,L,R,1061,224,0,0.353,0.473,0.37,18,17,13.70%,13.70%,90.8,91.9,106.3,110.7,15.2,37.10%,27.40%,39.40%,62.30%,88.20%,22.20%,6.50%,22.40%,0.237,16.70%,0.54,72.90%,49%,83.50%
74,1829147418,D. Cardenas,Diego Cardenas,Cardenas,Diego,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,R,970,198,0,0.328,0.472,0.434,14,19,23.90%,14.70%,93.1,95.4,108.2,114.9,21.2,38.20%,26.40%,45.60%,72.60%,74.40%,27.50%,15.90%,38.50%,0.759,100.00%,0,42.60%,53%,65.20%
75,1299762688,M. Schark,Matt Schark,Schark,Matt,3B,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,R,R,958,235,0,0.34,0.472,0.314,18,24,17.60%,8.20%,91.3,90.1,105.9,111.7,22,34.80%,32.60%,47.90%,74.40%,87.70%,30.50%,10.50%,33.30%,-,14.30%,0.388,56.50%,48%,78.00%
