Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,AB,G,AVG,wOBA,xWOBA,2B,HR,K%,BB%,ExitVel,Air EV,90thExitVel,MinMxExitVel,LaunchAng,LA10-30%,EV95+LA10-30%,Swing%,InZoneSwing%,Z-Contact%,Chase%,SwStrk%,Miss vs 93+ FB,xSLG vs 93+ FB,Miss vs 83+Spin,xSLG vs 83+ Spin,O-Contact%,HardHit%,Contact%
1,1085384960,J. Pokrovsky,Jarrett Pokrovsky,Pokrovsky,Jarrett,RF,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,691,171,0,0.292,0.35,0.29,9,2,21.40%,11.90%,85.1,83.8,100,103.1,9,31.30%,10.90%,42.70%,65.00%,83.00%,21.90%,9.70%,9.10%,0.223,35.70%,0.347,56.80%,28%,77.30%
1,1085400320,R. Taylor,Ryan Taylor,Taylor,Ryan,CF,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,720,181,0,0.254,0.327,0.285,12,3,20.70%,12.00%,85.7,86.5,101.8,105.4,7.4,27.50%,17.40%,39.00%,57.10%,89.40%,24.60%,7.40%,13.30%,0.179,42.90%,0.327,65.40%,38%,81.10%
1,1157092096,G. Williams,Garrett Williams,Williams,Garrett,IF,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,937,230,0,0.326,0.354,0.289,9,2,10.10%,10.10%,85.8,86.7,99.8,108.4,1.9,26.10%,9.60%,39.10%,62.00%,96.00%,21.20%,3.50%,0.00%,0.205,0.00%,0.322,81.00%,27%,91.00%
1,1181535232,H. Rook,Holden Rook,Rook,Holden,RF,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,424,96,0,0.281,0.329,0.259,6,0,22.30%,10.70%,78.7,76.1,97.8,102.4,11.6,36.00%,14.00%,45.50%,68.40%,85.70%,24.80%,11.80%,0.00%,0.095,85.70%,0.004,50.00%,22%,74.10%
1,1192517376,M. Miesse,Maddox Miesse,Miesse,Maddox,C,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,805,201,0,0.294,0.326,0.24,6,2,19.80%,4.80%,80.9,83.3,98.2,106,9.2,31.90%,6.20%,40.10%,60.40%,88.40%,21.20%,7.10%,11.10%,0.139,40.00%,0.2,66.70%,16%,82.40%
1,1202738176,E. Martin,Eric Martin,Martin,Eric,OF,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,R,369,67,0,0.209,0.335,0.335,5,3,25.60%,15.90%,84.8,81.7,105.2,108.6,-2.1,35.10%,13.50%,42.30%,65.10%,79.80%,22.40%,14.60%,0.00%,0.113,33.30%,0.286,39.50%,30%,65.40%
1,1262647552,W. Henseler,Wyatt Henseler,Henseler,Wyatt,3B,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,842,215,0,0.321,0.44,0.394,17,18,18.80%,6.30%,89.8,86.7,106.5,110.2,13.8,33.30%,20.00%,44.40%,67.80%,86.90%,30.70%,9.10%,42.90%,0.559,50.00%,0.064,56.50%,47%,79.40%
1,1284163584,A. Wilson,Asa Wilson,Wilson,Asa,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,299,72,0,0.278,0.358,0.33,4,0,17.80%,8.90%,79.6,83.2,96.6,101.4,4.6,34.40%,9.40%,36.80%,58.20%,89.70%,31.80%,6.40%,0.00%,0.784,0.00%,0.206,60.70%,19%,82.70%
1,1320360704,D. Baker,Davis Baker,Baker,Davis,SS,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,L,815,193,0,0.316,0.387,0.294,17,4,21.40%,9.80%,83.3,86.3,102,106.4,5.8,35.20%,18.30%,43.70%,64.10%,85.60%,27.60%,9.70%,28.60%,0.246,33.30%,0.323,56.40%,34%,77.80%
1,1109683456,M. Ladusau,Miller Ladusau,Ladusau,Miller,OF,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,R,1014,224,0,0.295,0.379,0.341,13,6,19.50%,10.50%,88.3,90.6,104.7,111.9,8.6,28.50%,17.70%,41.00%,66.50%,88.20%,20.50%,8.80%,0.00%,0.716,0.00%,0.061,56.30%,44%,78.60%
1,1126294528,R. Black,Ryan Black,Black,Ryan,2B,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,L,R,898,223,0,0.336,0.401,0.319,14,7,12.60%,12.30%,86.8,88,101.8,105.6,8.3,35.90%,13.60%,38.00%,54.10%,92.80%,25.20%,5.60%,0.00%,0.228,38.50%,0.243,75.00%,30%,85.30%
1,1134142464,J. Nielsen,Jack Nielsen,Nielsen,Jack,C,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,298,53,0,0.17,0.281,0.273,5,0,25.40%,18.30%,82.6,88.7,102.5,105.9,13.5,34.80%,21.70%,36.60%,59.70%,82.60%,16.20%,11.40%,25.00%,0.308,-,0,55.60%,26%,68.80%
1,1158009600,C. Gregory,Cason Gregory,Gregory,Cason,SS,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,202,47,0,0.191,0.24,0.208,4,0,21.40%,5.40%,62.5,81.6,91.6,95.2,-1.7,16.70%,8.30%,42.10%,60.50%,96.20%,30.40%,6.90%,-,-,-,-,71.40%,8%,83.50%
1,1162512640,T. Armstrong,Tyce Armstrong,Armstrong,Tyce,RF,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,345,82,0,0.354,0.376,0.377,5,1,13.80%,9.60%,87.9,85.9,102,110.5,3.8,37.50%,20.80%,50.70%,71.90%,87.80%,26.60%,8.70%,0.00%,0.604,0.00%,0.313,84.00%,38%,82.90%
1,1233348096,G. Berkley,Garrison Berkley,Berkley,Garrison,CF,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,969,233,0,0.365,0.425,0.315,20,4,17.50%,11.80%,83.9,82.5,102,105.2,16,31.60%,15.30%,36.80%,59.10%,92.80%,21.00%,5.90%,0.00%,0.319,36.40%,0.156,63.80%,32%,84.00%
1,1336031232,T. Pointer,Tyson Pointer,Pointer,Tyson,OF,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,797,221,0,0.303,0.387,0.298,16,10,24.70%,8.10%,81.9,89.5,105.4,107.6,9.1,30.70%,17.30%,50.20%,73.30%,75.70%,33.70%,13.30%,71.40%,0.027,18.20%,0.196,57.30%,37%,73.50%
1,1108882432,G. Broussard,Garrett Broussard,Broussard,Garrett,IF,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,717,194,0,0.309,0.381,0.26,13,7,15.20%,10.30%,81.3,78.1,101.4,102.1,11.2,13.00%,8.70%,41.80%,61.40%,82.90%,27.00%,7.10%,0.00%,0.859,-,-,70.60%,35%,83.00%
1,1132676096,C. Halvorson,Calyn Halvorson,Halvorson,Calyn,OF,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,619,196,0,0.316,0.366,0.322,12,6,14.60%,4.20%,84.6,84.4,102.2,105.8,11.8,31.80%,13.60%,52.20%,79.40%,92.60%,25.60%,9.70%,0.00%,0.844,-,-,90.90%,32%,81.40%
1,1132962304,L. Iverson,Luke Iverson,Iverson,Luke,RF,Utah Valley University,UVU,730263552,Utah Valley,BBC,S,R,466,112,0,0.295,0.405,0.225,6,3,27.80%,7.50%,90.5,85.6,99.7,104,23.4,36.40%,36.40%,42.50%,68.80%,72.70%,29.20%,12.70%,-,-,50.00%,0.019,35.70%,55%,70.20%
1,1139163904,C. Jordan,Cole Jordan,Jordan,Cole,u,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,722,197,0,0.305,0.377,0.256,10,9,14.00%,6.30%,83.7,86.5,99.2,101.6,20.3,46.20%,11.50%,48.50%,69.60%,89.70%,40.00%,8.60%,0.00%,0.094,66.70%,0.013,70.80%,19%,82.30%
