Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,AB,G,AVG,wOBA,xWOBA,2B,HR,K%,BB%,ExitVel,Air EV,90thExitVel,MinMxExitVel,LaunchAng,LA10-30%,EV95+LA10-30%,Swing%,InZoneSwing%,Z-Contact%,Chase%,SwStrk%,Miss vs 93+ FB,xSLG vs 93+ FB,Miss vs 83+Spin,xSLG vs 83+ Spin,O-Contact%,HardHit%,Contact%
1,1190621184,D. Dickinson,Daniel Dickinson,Dickinson,Daniel,2B,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,840,218,0,0.376,0.447,0.378,19,9,12.90%,8.90%,84.5,82.8,102.1,106.8,5.2,42.90%,25.00%,43.00%,58.60%,87.80%,20.50%,6.20%,0.00%,0.633,33.30%,-,82.40%,43%,85.60%
1,1190621440,N. Bach,Nate Bach,Bach,Nate,1B,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,442,105,0,0.229,0.338,0.313,6,3,32.60%,11.40%,82,82.2,97.6,112.7,11.2,25.00%,12.50%,41.20%,71.20%,73.00%,29.80%,12.00%,100.00%,0,100.00%,0,70.60%,31%,70.90%
1,1290703104,B. Camper,Burke Camper,Camper,Burke,C,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,686,134,0,0.321,0.425,0.308,12,3,24.70%,15.40%,81.5,76.3,103.5,107.2,13.9,13.30%,6.70%,35.30%,53.60%,80.00%,22.80%,12.20%,25.00%,0.008,0.00%,-,47.60%,40%,65.30%
1,1329262336,M. Schwarz,Matthew Schwarz,Schwarz,Matthew,SS,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,729,182,0,0.302,0.388,0.263,14,6,20.40%,9.20%,83.5,85.1,102.7,104.6,9.1,25.00%,20.80%,45.00%,69.30%,88.50%,18.00%,11.00%,0.00%,0.409,0.00%,0.023,54.50%,29%,75.60%
1,1100789760,B. Wooldridge,Braydon Wooldridge,Wooldridge,Braydon,TWP,UC Davis,UCD,730153984,UC Davis,BBC,L,L,136,51,10,0.235,0.24,0.184,2,0,15.10%,3.80%,82.2,90.1,91.1,94,-1,22.20%,0.00%,58.80%,66.70%,75.00%,50.00%,4.40%,75.00%,0,-,-,94.40%,0%,92.50%
1,1158561792,N. Iverson,Nick Iverson,Iverson,Nick,IF,UC Davis,UCD,730153984,UC Davis,BBC,R,R,401,142,0,0.218,0.26,0.234,9,0,15.50%,5.00%,81.7,82.7,94,95.7,13.4,24.30%,0.00%,48.10%,61.00%,87.20%,34.30%,7.20%,0.00%,0.956,0.00%,-,66.70%,8%,85.00%
1,1188283648,J. Wright,Joey Wright,Wright,Joey,SS,UC Davis,UCD,730153984,UC Davis,BBC,R,R,691,180,0,0.25,0.33,0.256,11,3,24.40%,14.50%,81.4,82.4,93.4,97.4,17.7,39.00%,4.90%,34.20%,58.70%,89.20%,20.00%,5.60%,0.00%,0.383,100.00%,0,54.10%,7%,83.50%
1,1229118720,R. Lee,Ryan Lee,Lee,Ryan,1B,UC Davis,UCD,730153984,UC Davis,BBC,R,R,296,90,0,0.2,0.256,0.266,4,0,23.10%,11.50%,76.9,83.5,92.1,103.1,6.7,25.00%,5.00%,44.30%,67.20%,77.80%,27.90%,11.10%,50.00%,0.164,-,-,37.50%,10%,74.80%
1,1263498752,M. Wolbert,Mark Wolbert,Wolbert,Mark,CF,UC Davis,UCD,730153984,UC Davis,BBC,L,L,694,191,0,0.262,0.333,0.275,6,4,27.10%,11.60%,85.3,90.1,102.9,104.4,-0.7,13.90%,8.30%,42.50%,74.20%,77.90%,25.70%,10.40%,50.00%,0.291,50.00%,0.245,55.30%,33%,75.60%
1,1263499009,N. Leehey,Nick Leehey,Leehey,Nick,2B,UC Davis,UCD,730153984,UC Davis,BBC,R,R,609,185,0,0.259,0.32,0.321,10,3,22.30%,10.20%,88.6,89.1,101.1,105,15.6,28.30%,15.20%,41.10%,68.40%,82.50%,17.70%,7.40%,0.00%,0.288,75.00%,-,64.30%,39%,82.00%
1,1278282752,A. Gouveia,Alex Gouveia,Gouveia,Alex,3B,UC Davis,UCD,730153984,UC Davis,BBC,R,R,474,208,0,0.313,0.345,0.272,20,3,8.00%,5.30%,84.2,77.1,100.5,106.6,9.3,31.40%,11.80%,56.30%,67.40%,87.90%,41.70%,4.90%,20.00%,0.082,50.00%,0.164,81.40%,25%,91.40%
1,1330455040,D. Stone,Damian Stone,Stone,Damian,OF,UC Davis,UCD,730153984,UC Davis,BBC,L,L,560,193,0,0.306,0.371,0.375,6,5,14.80%,7.80%,88.4,88.2,102.8,107.4,13,48.90%,26.70%,43.90%,70.30%,88.50%,20.50%,4.60%,0.00%,0.36,66.70%,0.046,58.30%,31%,89.40%
1,1081479936,N. Dumesnil,Nicholas Dumesnil,Dumesnil,Nicholas,CF,California Baptist University,CBU,5091,California Baptist,BBC,R,R,197,45,0,0.333,0.372,0.256,5,0,30.00%,8.00%,88,83.2,103.9,106.2,12.4,43.80%,12.50%,45.20%,63.30%,87.10%,35.30%,10.70%,0.00%,0.135,0.00%,0.725,58.30%,44%,76.40%
1,1113284096,C. McGuire,Connor McGuire,McGuire,Connor,IF,California Baptist University,CBU,5091,California Baptist,BBC,R,R,576,157,0,0.236,0.289,0.232,2,4,18.50%,6.20%,77.5,79.9,98.4,105.7,8.5,31.80%,9.40%,47.70%,68.60%,93.20%,30.50%,10.10%,25.00%,0.112,23.10%,0.169,53.30%,19%,78.90%
1,1126699008,M. Carpentier,Michael Carpentier,Carpentier,Michael,C,California Baptist University,CBU,5091,California Baptist,BBC,L,R,871,232,0,0.323,0.38,0.283,17,8,18.20%,5.80%,84,87.2,99.7,102.9,11.8,29.10%,12.80%,52.40%,77.60%,90.20%,30.90%,10.10%,11.10%,0.438,0.00%,0.492,60.90%,26%,80.70%
1,1213515520,M. Simon,Mitchel Simon,Simon,Mitchel,IF,California Baptist University,CBU,5091,California Baptist,BBC,R,R,930,233,0,0.309,0.418,0.326,21,19,30.50%,7.70%,88.2,90.7,105.1,111.3,18.6,29.00%,24.00%,50.90%,77.10%,74.90%,34.00%,15.70%,18.80%,0.063,50.00%,0.088,55.90%,45%,69.10%
1,1310879232,J. Paino,Josh Paino,Paino,Josh,3B,California Baptist University,CBU,5091,California Baptist,BBC,R,R,695,178,0,0.27,0.359,0.3,9,9,29.60%,7.90%,81.7,90.3,103.9,107.3,8.5,18.60%,12.90%,47.30%,73.40%,73.00%,30.80%,15.50%,54.50%,0.024,33.30%,0.092,50.00%,34%,67.20%
1,1145506560,A. Torres,Adrian Torres,Torres,Adrian,OF,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,L,R,649,164,0,0.305,0.37,0.266,6,4,15.50%,10.90%,83,81.6,96,100.1,15.5,33.30%,8.30%,47.50%,59.10%,89.70%,27.00%,9.90%,25.00%,0.088,25.00%,0.153,70.80%,17%,79.20%
1,1212862976,S. Lancia,Steven Lancia,Lancia,Steven,C,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,762,187,0,0.321,0.379,0.319,7,7,22.60%,10.40%,88.3,93.7,103.4,104.7,7.1,39.10%,34.80%,45.50%,63.20%,72.20%,28.00%,12.30%,0.00%,0.467,50.00%,0.238,69.20%,48%,72.90%
1,1260741888,K. York,Kade York,York,Kade,IF,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,812,177,0,0.305,0.376,0.32,10,3,20.90%,12.00%,77.9,85.1,98.9,101.4,12.7,22.70%,13.60%,42.10%,60.70%,94.60%,25.30%,9.40%,0.00%,-,80.00%,0.188,52.60%,27%,77.80%
1,1268020992,C. Valdez,CJ Valdez,Valdez,CJ,IF,Purdue University,PUR,730353152,Purdue,BBC,R,R,491,132,0,0.273,0.325,0.284,10,3,20.80%,6.30%,88.2,90.1,105.2,110.6,16.8,30.00%,16.30%,55.00%,78.30%,82.60%,38.50%,13.60%,21.10%,0.528,50.00%,0.028,57.10%,34%,75.20%
1,1174603008,G. Heiser,Grant Heiser,Heiser,Grant,C,Seattle University,SEA,4504,Seattle,BBC,R,R,489,109,0,0.284,0.385,0.261,9,5,21.70%,10.90%,85.9,89.6,101.8,102.9,15.7,29.20%,18.80%,41.10%,59.00%,93.70%,28.90%,8.20%,10.00%,0.05,26.70%,0.236,56.30%,33%,80.10%
1,1197460480,C. Kleckner,Cole Kleckner,Kleckner,Cole,OF,Seattle University,SEA,4504,Seattle,BBC,L,L,775,180,0,0.361,0.379,0.287,4,0,12.40%,13.80%,76.8,80.1,92.6,100.2,-9,21.20%,2.40%,39.50%,61.30%,90.40%,16.80%,3.20%,6.70%,0.421,28.60%,0.057,82.90%,6%,91.80%
1,1244080640,C. Dayton,Cameron Dayton,Dayton,Cameron,u,Seattle University,SEA,4504,Seattle,BBC,L,L,485,117,25,0.291,0.332,0.213,11,2,16.70%,7.60%,83.2,80.2,98.6,101.5,15.7,30.40%,10.90%,43.30%,60.00%,94.90%,30.60%,7.20%,14.30%,0.157,36.40%,0.417,66.10%,20%,83.30%
1,1271908352,T. Antonson,Trevor Antonson,Antonson,Trevor,IF,Seattle University,SEA,4504,Seattle,BBC,R,R,835,201,0,0.294,0.366,0.257,13,4,21.30%,5.10%,79.8,81.6,99.8,104.6,13.5,31.20%,14.00%,48.90%,70.40%,80.00%,27.60%,11.70%,10.50%,0.2,52.90%,0.256,60.80%,26%,76.00%
1,1281620992,R. Hays,Ryne Hays,Hays,Ryne,C,Seattle University,SEA,4504,Seattle,BBC,R,R,461,139,0,0.237,0.309,0.285,5,5,20.80%,5.20%,83,83.2,99.7,102.7,16.1,30.00%,13.30%,52.10%,77.50%,79.60%,34.50%,15.20%,33.30%,0.768,50.00%,0.042,50.80%,22%,70.80%
1,1298532864,D. Gellos,Derek Gellos,Gellos,Derek,u,Seattle University,SEA,4504,Seattle,BBC,R,L,333,90,0,0.333,0.385,0.355,7,1,12.50%,11.50%,87.3,84.1,97.8,99.2,8.1,25.00%,8.30%,41.70%,54.30%,90.00%,18.00%,4.20%,50.00%,0.342,42.90%,0,72.20%,28%,89.90%
1,1298533376,K. Carr,Kellen Carr,Carr,Kellen,IF,Seattle University,SEA,4504,Seattle,BBC,R,R,244,63,0,0.206,0.251,0.211,2,0,30.60%,8.30%,76.6,81.3,96,102.5,10,32.00%,0.00%,46.70%,61.30%,67.30%,30.00%,20.10%,33.30%,0.32,50.00%,0.115,43.30%,12%,57.00%
1,1307034368,J. Reed,Jackson Reed,Reed,Jackson,CF,Seattle University,SEA,4504,Seattle,BBC,L,L,421,87,0,0.241,0.332,0.242,3,2,19.20%,14.40%,82.9,89,99.8,106,11.1,26.00%,12.00%,35.40%,57.10%,83.30%,15.60%,7.60%,15.40%,0.165,66.70%,0,56.70%,26%,78.50%
1,1090158336,A. Joe,Aerik Joe,Joe,Aerik,IF,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,885,225,0,0.271,0.329,0.347,9,0,18.60%,11.00%,85.2,82.8,99.1,103.6,4.8,30.40%,12.00%,40.70%,64.90%,94.40%,23.50%,7.30%,12.50%,0.122,0.00%,1.137,74.60%,26%,81.90%
1,1148123905,M. Santos,Miguel Santos,Santos,Miguel,IF,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,999,265,0,0.313,0.39,0.283,18,15,16.10%,6.70%,88.6,89.7,104,109.6,12.1,27.00%,20.40%,52.50%,78.20%,83.80%,34.50%,12.60%,18.20%,0.458,42.10%,0.094,61.70%,42%,76.00%
1,1155640576,L. Heefner,Luke Heefner,Heefner,Luke,SS,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,L,R,738,181,0,0.243,0.313,0.228,10,3,24.70%,9.80%,84.5,88,100.4,105.8,5.6,31.70%,14.60%,46.10%,65.90%,75.80%,29.50%,14.50%,60.00%,0.064,44.40%,0.115,44.40%,29%,68.50%
1,1155640832,N. Humphreys,Nathan Humphreys,Humphreys,Nathan,CF,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,L,R,954,202,0,0.351,0.462,0.323,15,14,20.40%,14.60%,89.6,93,105.5,109,8.3,30.60%,23.10%,43.30%,67.40%,85.60%,26.90%,9.00%,16.70%,0.375,33.30%,0.121,64.20%,50%,79.20%
1,1162504704,A. Reyes,Aaron Reyes,Reyes,Aaron,P,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,277,83,0,0.277,0.311,0.245,2,2,25.30%,1.10%,86.1,82.5,103.5,105.5,10.2,18.20%,12.10%,47.70%,77.00%,84.20%,26.00%,12.60%,50.00%,0.126,33.30%,0,44.00%,36%,73.50%
1,1207773440,G. Jay,Grant Jay,Jay,Grant,C,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,1023,189,0,0.317,0.49,0.411,17,21,30.30%,15.10%,89.8,95.5,107.6,112.5,18.9,30.90%,21.60%,43.90%,72.00%,76.10%,24.10%,16.30%,26.70%,0.31,55.90%,0.073,39.80%,51%,62.80%
1,1238948352,E. Mann,Ethan Mann,Mann,Ethan,IF,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,1001,210,0,0.319,0.471,0.371,15,20,18.30%,16.00%,87.4,92.2,103.5,108.7,18.5,31.70%,21.70%,44.50%,75.90%,81.00%,24.70%,11.20%,33.30%,0.385,46.20%,0.215,66.70%,43%,74.80%
1,1259825664,M. Dattalo,Michael Dattalo,Dattalo,Michael,3B,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,900,223,0,0.372,0.429,0.256,18,8,7.60%,10.30%,85.8,89.2,100.4,102.2,5.4,37.00%,18.50%,37.70%,50.90%,96.60%,25.60%,4.40%,33.30%,-,0.00%,0.088,80.00%,33%,88.20%
1,1297506048,C. Spencer,Chase Spencer,Spencer,Chase,CF,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,904,192,5,0.292,0.376,0.338,15,4,24.50%,13.90%,84.8,88.4,98.6,103,10.3,38.20%,26.50%,39.40%,70.10%,86.20%,18.10%,9.30%,28.60%,0.444,57.10%,0.111,59.50%,34%,76.40%
1,1310273536,J. Thomason,Jay Thomason,Thomason,Jay,IF,Air Force Academy,AFA,730205440,Air Force,BBC,L,R,965,227,0,0.344,0.482,0.433,21,21,14.90%,11.50%,88,93.3,106,113.8,17.1,30.60%,18.80%,48.70%,79.20%,86.80%,31.80%,10.40%,9.10%,0.913,0.00%,0.01,71.70%,38%,78.70%
1,1330202880,J. Greiving,Jake Greiving,Greiving,Jake,OF,Air Force Academy,AFA,730205440,Air Force,BBC,L,R,851,246,0,0.297,0.361,0.326,24,7,18.50%,6.20%,90.5,90.4,102.9,108.9,19.6,28.10%,22.50%,53.80%,84.20%,88.70%,33.70%,12.00%,20.00%,0.297,20.00%,0.37,68.30%,45%,77.70%
1,1330203648,S. Kulasingam,Sam Kulasingam,Kulasingam,Sam,IF,Air Force Academy,AFA,730205440,Air Force,BBC,S,R,942,235,0,0.426,0.505,0.413,28,6,8.20%,17.00%,89.4,89.5,103.6,108.2,3,35.70%,22.40%,41.70%,70.00%,95.20%,23.60%,5.50%,0.00%,0.33,33.30%,0.119,70.10%,47%,86.80%
1,1113645312,K. Kinkade,Konner Kinkade,Kinkade,Konner,IF,University of New Mexico,UNM,730153472,New Mexico,BBC,R,R,263,55,0,0.273,0.392,0.328,4,2,9.70%,20.80%,79.2,86,97.4,97.4,29.9,60.00%,20.00%,41.80%,70.00%,57.10%,56.30%,10.60%,-,-,-,-,44.40%,20%,74.50%
1,1119800064,D. Dixon,Devon Dixon,Dixon,Devon,IF,University of New Mexico,UNM,730153472,New Mexico,BBC,R,R,596,164,0,0.28,0.352,0.272,10,6,15.90%,8.80%,77.3,83.5,99.7,103,12.7,17.60%,11.80%,49.50%,81.40%,83.30%,36.30%,10.40%,-,-,0.00%,0.422,54.50%,26%,79.00%
1,1133616896,J. Holland,Jake Holland,Holland,Jake,C,University of New Mexico,UNM,730153472,New Mexico,BBC,R,R,473,150,0,0.333,0.428,0.427,7,12,20.10%,5.00%,86,90.7,105.4,108.3,16,33.30%,21.20%,53.50%,73.20%,95.10%,35.70%,13.50%,0.00%,0.289,0.00%,0.286,56.00%,36%,74.70%
1,1193042176,K. Smith,Kyle Smith,Smith,Kyle,C,University of New Mexico,UNM,730153472,New Mexico,BBC,R,R,369,70,0,0.271,0.461,0.467,3,5,17.70%,16.70%,89.1,93.3,105.8,107.3,16,31.80%,27.30%,39.80%,70.50%,90.30%,28.80%,9.80%,-,0,0.00%,0.013,47.40%,50%,75.50%
1,1239018496,R. Spenrath,Reed Spenrath,Spenrath,Reed,1B,University of New Mexico,UNM,730153472,New Mexico,BBC,L,R,886,190,0,0.316,0.465,0.353,11,19,30.70%,14.90%,93.9,98.2,108.9,110.9,20.7,30.60%,30.60%,42.70%,69.80%,70.50%,24.90%,13.30%,71.40%,0.245,33.30%,0.031,48.80%,64%,68.80%
1,1281635328,W. Asby,Will Asby,Asby,Will,RF,University of San Francisco,SF,730365696,San Francisco,BBC,L,R,438,152,0,0.263,0.353,0.334,10,7,19.10%,9.20%,87.5,92.8,99.6,105.3,12.3,45.20%,25.80%,42.00%,64.40%,89.40%,29.20%,5.30%,-,-,-,-,65.40%,39%,87.50%
1,1297334528,L. Boyd,Landon Boyd,Boyd,Landon,1B,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,423,93,0,0.204,0.314,0.281,6,3,32.80%,14.70%,82.8,90.9,98.3,99.7,16.5,39.30%,17.90%,41.10%,72.30%,81.70%,26.80%,12.80%,0.00%,0.239,-,-,57.70%,21%,69.00%
1,1107828224,J. Pierce,Jesse Pierce,Pierce,Jesse,OF,University of Nevada,NEV,4784,Nevada,BBC,R,R,662,173,0,0.318,0.427,0.398,12,11,23.30%,12.40%,89.1,91.7,105.6,108.8,17.4,34.10%,20.00%,41.20%,74.40%,79.40%,21.30%,10.60%,33.30%,0.172,77.80%,0.045,50.80%,39%,74.40%
1,1181521152,T. Holder,Taylor Holder,Holder,Taylor,LF,University of Nevada,NEV,4784,Nevada,BBC,R,R,360,93,0,0.28,0.388,0.306,8,3,25.70%,5.50%,86.4,92.7,105.1,111.6,5.7,28.60%,16.30%,46.90%,74.10%,75.70%,27.50%,12.20%,100.00%,0,-,-,73.80%,41%,74.00%
1,1237036800,J. Freethy,JR Freethy,Freethy,JR,2B,University of Nevada,NEV,4784,Nevada,BBC,S,R,522,137,0,0.255,0.333,0.362,7,5,16.00%,10.30%,83.8,84.6,102.2,105.1,16.4,38.20%,13.20%,39.30%,57.10%,89.10%,23.20%,6.10%,0.00%,0.221,0.00%,0.507,66.70%,24%,84.40%
1,1243869440,N. Wilson,Nolan Wilson,Wilson,Nolan,C,University of Nevada,NEV,4784,Nevada,BBC,R,R,702,205,0,0.288,0.347,0.323,17,4,24.00%,5.80%,87.6,86.7,104.8,108.2,10.3,39.00%,23.80%,50.00%,73.10%,84.50%,35.30%,12.80%,37.50%,0.284,55.60%,0.408,53.80%,43%,74.40%
1,1283055360,J. Acal,Justin Acal,Acal,Justin,IF,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,655,177,0,0.226,0.337,0.242,9,10,28.30%,9.30%,87.7,92.9,103.5,107.2,14.6,27.30%,20.50%,42.40%,66.90%,73.90%,27.70%,11.50%,33.30%,0.208,22.20%,0.072,52.60%,50%,73.00%
1,1297504512,J. Waller,Jackson Waller,Waller,Jackson,CF,University of Nevada,NEV,4784,Nevada,BBC,R,R,266,72,0,0.236,0.277,0.229,1,1,22.50%,7.50%,78.3,80.4,97.4,100.7,13.9,20.60%,5.90%,46.60%,65.80%,76.90%,38.30%,12.40%,0.00%,0.141,66.70%,0.282,61.20%,15%,73.40%
