Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,AB,G,AVG,wOBA,xWOBA,2B,HR,K%,BB%,ExitVel,Air EV,90thExitVel,MinMxExitVel,LaunchAng,LA10-30%,EV95+LA10-30%,Swing%,Z-Swing,Z-Contact%,O-Swing%,SwStrk%,Miss vs 93+ FB,xSLG vs 93+ FB,Miss vs Spin 83+,xSLG vs 83+ Spin
2008,1165471232,N. Salas,Nick Salas,Salas,Nick,IF,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,925,167,52,0.293,0.358,0.333,11,0,14.80%,14.80%,77.8,76.9,96.1,98.6,9,32.10%,1.20%,30.30%,46.90%,92.70%,17.90%,4.20%,13.90%,0.105,0%,0.172
2009,1109527552,N. Monistere,Nick Monistere,Monistere,Nick,2B,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,1020,227,62,0.247,0.358,0.302,13,11,20.90%,10.30%,84.7,88.5,105.5,110.4,14.8,31.50%,17.10%,44.50%,69.30%,85.20%,27.50%,10.50%,23.60%,0.584,54%,0.229
2010,1136066816,C. MacDonald,Cort MacDonald,MacDonald,Cort,LF,Stanford University,STAN,730251264,Stanford,BBC,L,L,867,209,53,0.325,0.358,0.303,7,3,16.40%,9.70%,85.2,83,98.9,102.6,11.3,30.70%,10.70%,46.00%,62.80%,94.10%,34.90%,8.30%,18.00%,0.085,40%,0.441
2011,1237057024,L. Brooks,Lauden Brooks,Brooks,Lauden,2B,University of Cincinnati,CIN,5465,Cincinnati,BBC,R,R,899,193,50,0.301,0.358,0.278,10,2,25.30%,10.70%,84.7,86.8,101.5,107,14.5,32.70%,12.50%,38.30%,54.60%,85.40%,25.20%,9.30%,24.40%,0.223,48%,0.335
2012,1237393152,L. Forsythe,Lane Forsythe,Forsythe,Lane,IF,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,R,1137,202,59,0.287,0.358,0.308,6,3,24.00%,17.40%,87.2,90.6,102,107,6.2,29.20%,18.90%,39.10%,61.70%,81.80%,19.40%,9.30%,23.80%,0.156,26%,0.227
2013,1167173120,M. Whitcomb,Mack Whitcomb,Whitcomb,Mack,C,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,540,125,40,0.28,0.358,0.436,4,6,13.80%,12.40%,94.4,93,105.3,107.9,20.3,38.10%,28.60%,42.80%,77.30%,73.50%,20.50%,6.90%,16.00%,2.965,0%,-
2014,1310643968,J. Brown,Jake Brown,Brown,Jake,RF,Louisiana State University,LSU,5323,Louisiana State,BBC,L,L,420,91,49,0.264,0.358,0.281,4,4,19.40%,9.30%,86.5,89.5,99.7,103.4,13.6,32.00%,12.00%,41.20%,60.70%,88.80%,24.90%,6.90%,16.80%,0.486,29%,0.309
2015,1184439808,E. Lambros,Elijah Lambros,Lambros,Elijah,CF,University of Maryland-College Park,MD,730172928,Maryland,BBC,R,R,803,187,56,0.267,0.358,0.282,10,6,22.20%,11.60%,85.5,85.1,103.3,106.2,18.5,31.10%,16.20%,39.20%,63.40%,81.90%,21.30%,10.60%,27.00%,0.099,17%,0.089
2016,1310319872,E. Serrano,Eli Serrano,Serrano,Eli,IF,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,L,1082,246,61,0.285,0.358,0.298,9,9,12.80%,11.00%,90.1,90.5,105.2,110.7,12.6,28.50%,19.00%,40.40%,63.10%,94.40%,22.40%,5.60%,14.00%,0.303,26%,0.381
2017,1145241856,C. Reisdorph,Chance Reisdorph,Reisdorph,Chance,C,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,R,R,716,157,50,0.287,0.358,0.345,9,4,17.60%,7.30%,83,88.9,98.4,99.1,15.5,38.90%,16.70%,49.70%,71.60%,87.50%,27.80%,10.90%,21.90%,-,25%,0.133
