Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,AB,G,AVG,wOBA,xWOBA,2B,HR,K%,BB%,ExitVel,Air EV,90thExitVel,MinMxExitVel,LaunchAng,LA10-30%,EV95+LA10-30%,Swing%,Z-Swing,Z-Contact%,O-Swing%,SwStrk%,Miss vs 93+ FB,xSLG vs 93+ FB,Miss vs Spin 83+,xSLG vs 83+ Spin
1,1311692544,A. Sierra,Armando Sierra,Sierra,Armando,P,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,1,1,13,1,1.252,0,1,0,0.00%,0.00%,-,-,-,-,-,-,-,100.00%,-,100.00%,-,0.00%,0.00%,-,-,-
2,1217946368,L. Pettitte,Luke Pettitte,Pettitte,Luke,P,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,4,1,12,1,0.886,0.801,0,0,0.00%,0.00%,104.8,-,104.8,104.8,10.9,100.00%,100.00%,75.00%,100.00%,50.00%,50.00%,25.00%,33.30%,-,-,-
2,1226973184,N. Vidmar,Nathan Vidmar,Vidmar,Nathan,P,Delaware State University,DSU,730217984,Delaware State,BBC,U,R,5,1,18,1,0.886,0,0,0,0.00%,0.00%,-,-,-,-,-,-,-,60.00%,-,100.00%,-,0.00%,0.00%,-,-,-
2,1175513856,Q. Bennett,Quin Bennett,Bennett,Quin,P,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,1,1,14,1,0.886,0,0,0,0.00%,0.00%,-,-,-,-,-,-,-,100.00%,-,100.00%,-,0.00%,0.00%,-,-,-
5,1330777345,B. Leonard,Bryce Leonard,Leonard,Bryce,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,4,1,13,1,0.807,0.364,0,0,0.00%,0.00%,-,-,-,-,-,-,-,25.00%,0.00%,100.00%,0.00%,0.00%,0.00%,-,-,-
6,1204946432,P. Forbes,Patrick Forbes,Forbes,Patrick,P,University of Louisville,LOU,5467,Louisville,BBC,R,R,1,0,13,-,0.728,0.728,0,0,0.00%,0.00%,32.5,32.5,32.5,32.5,74.3,-,-,0.00%,-,100.00%,0.00%,0.00%,-,-,-,-
7,1132735744,C. Ingram,Chase Ingram,Ingram,Chase,P,UAB,UAB,730345984,UAB,BBC,R,R,5,0,20,-,0.697,0.697,0,0,0.00%,100.00%,-,-,-,-,-,-,-,20.00%,-,100.00%,-,0.00%,0.00%,-,-,-
7,1181951232,M. Buchanan,Matthew Buchanan,Buchanan,Matthew,P,University of Virginia,UVA,5415,Virginia,BBC,L,L,5,0,10,-,0.697,0.697,0,0,0.00%,100.00%,-,-,-,-,-,-,-,0.00%,0.00%,100.00%,0.00%,0.00%,-,-,-,-
7,1074572288,B. Reinke,Brian Reinke,Reinke,Brian,P,University of Richmond,RICH,730171904,Richmond,BBC,L,L,1,0,22,-,0.697,0.697,0,0,0.00%,100.00%,-,-,-,-,-,-,-,0.00%,-,100.00%,0.00%,0.00%,-,-,-,-
7,1237660928,G. Manning,Grant Manning,Manning,Grant,P,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,5,0,19,-,0.697,0.697,0,0,0.00%,100.00%,-,-,-,-,-,-,-,0.00%,0.00%,100.00%,0.00%,0.00%,-,-,-,-
7,1143005440,H. Estes,Hayden Estes,Estes,Hayden,P,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,6,0,10,-,0.697,0.697,0,0,0.00%,100.00%,-,-,-,-,-,-,-,33.30%,-,100.00%,33.30%,16.70%,50.00%,-,-,-
7,1084034304,E. Rodriguez,Esteban Rodriguez,Rodriguez,Esteban,P,University of Richmond,RICH,730171904,Richmond,BBC,R,R,1,0,18,-,0.697,0.697,0,0,0.00%,100.00%,-,-,-,-,-,-,-,0.00%,-,100.00%,0.00%,0.00%,-,-,-,-
7,1162420224,C. Dorsey,Chandler Dorsey,Dorsey,Chandler,P,University of South Florida,USF,2292,South Florida,BBC,R,R,6,0,26,-,0.697,0.697,0,0,0.00%,100.00%,-,-,-,-,-,-,-,0.00%,0.00%,100.00%,0.00%,0.00%,-,-,-,-
14,1100573952,A. Teel,Aidan Teel,Teel,Aidan,CF,University of Virginia,UVA,5415,Virginia,BBC,L,R,44,10,29,0.4,0.697,0.511,0,3,18.20%,9.10%,90.9,95.4,103.4,103.4,20.5,33.30%,33.30%,36.40%,69.20%,77.80%,11.80%,9.10%,25.00%,-,-,-
15,1181567232,J. Slade,Jake Slade,Slade,Jake,3B,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,42,13,10,0.538,0.681,0.436,1,2,38.50%,0.00%,98.8,101.3,103.8,104.5,14.9,42.90%,28.60%,47.60%,68.20%,73.30%,22.20%,14.30%,30.00%,0.475,-,-
16,1310862336,G. Guidry,Gavin Guidry,Guidry,Gavin,IF,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,5,2,23,0.5,0.626,0.466,1,0,0.00%,0.00%,97.4,-,98.6,98.6,-0.8,50.00%,50.00%,60.00%,100.00%,100.00%,33.30%,0.00%,0.00%,-,-,-
17,1085268480,T. August,Tyler August,August,Tyler,P,University of Delaware,DEL,730203136,Delaware,BBC,L,R,58,10,24,0.4,0.618,0.466,0,2,14.30%,21.40%,93.7,95.9,101.2,103,20.4,14.30%,14.30%,29.30%,83.30%,90.00%,10.30%,5.20%,17.60%,-,-,-
18,1142932224,G. Knipp,Grant Knipp,Knipp,Grant,C,Campbell University,CAMP,730187776,Campbell,BBC,R,R,566,102,29,0.402,0.612,0.614,8,18,20.10%,19.40%,96.8,98.6,109.8,113.9,26.6,44.90%,36.20%,42.20%,68.40%,76.20%,28.30%,13.40%,31.80%,0.079,60%,0.412
19,1306910720,J. Lux,Jack Lux,Lux,Jack,1B,Oakland University,OAK,5386,Oakland,BBC,L,R,78,11,17,0.364,0.609,0.35,0,2,13.60%,45.50%,55.7,-,55.7,-,-15.9,0.00%,0.00%,25.60%,37.50%,100.00%,9.10%,5.10%,20.00%,-,-,-
20,1162514176,C. Condon,Charlie Condon,Condon,Charlie,1B,University of Georgia,UGA,226,Georgia,BBC,R,R,1161,231,60,0.433,0.607,0.517,21,37,13.50%,18.80%,97,97.4,111.8,118.2,15.5,34.30%,28.40%,39.20%,68.90%,88.70%,22.50%,7.30%,18.70%,0.996,39%,0.517
21,1212942592,C. Backus,Colby Backus,Backus,Colby,CF,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,147,31,21,0.387,0.588,0.382,3,5,34.20%,15.80%,93.4,96.6,102.7,107.3,11.3,35.30%,23.50%,40.10%,65.20%,69.80%,18.40%,15.60%,39.00%,-,75%,0
22,1248709120,T. Bazzana,Travis Bazzana,Bazzana,Travis,IF,Oregon State University,ORST,3111,Oregon State,BBC,L,R,1202,214,60,0.407,0.584,0.492,16,28,12.50%,25.70%,96.2,99.7,108.9,111.9,13.7,39.70%,34.80%,31.90%,60.40%,88.40%,14.80%,5.10%,15.90%,1.324,32%,0.14
23,1235376384,N. Manley,Nate Manley,Manley,Nate,C,Wright State University,WRST,5390,Wright State,BBC,R,R,250,62,21,0.435,0.571,0.453,3,7,15.00%,16.30%,87.8,91.7,99.3,103.5,14.2,35.30%,23.50%,36.40%,55.70%,82.40%,5.00%,4.80%,13.20%,-,-,0
24,1310590976,W. Barron,Walker Barron,Barron,Walker,C,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,61,11,14,0.455,0.57,0.381,0,1,5.90%,17.60%,76.7,75.9,87.5,92.4,26.8,16.70%,0.00%,41.00%,57.10%,87.50%,31.30%,6.60%,16.00%,-,-,-
25,1179084800,B. Venables,Ben Venables,Venables,Ben,SS,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,39,7,11,0.571,0.57,0.392,0,0,10.00%,10.00%,74.1,-,74.1,74.1,14.6,100.00%,0.00%,35.90%,50.00%,100.00%,7.70%,5.10%,14.30%,-,-,-
26,1250755584,L. Miller-Green,Lyle Miller-Green,Miller-Green,Lyle,OF,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,1029,220,56,0.391,0.568,0.458,17,30,13.10%,18.60%,94.1,93.6,111.3,116.5,17.6,31.70%,25.20%,39.40%,64.70%,88.30%,24.60%,8.70%,22.20%,0.431,30%,0.151
27,1258877440,L. Pollock,Liam Pollock,Pollock,Liam,P,Oakland University,OAK,5386,Oakland,BBC,L,L,62,9,10,0.444,0.566,0.286,2,0,20.00%,33.30%,85.8,85.8,85.8,85.8,40.2,0.00%,0.00%,46.80%,100.00%,40.00%,44.40%,19.40%,41.40%,-,-,-
28,1204033024,J. Caglianone,Jac Caglianone,Caglianone,Jac,P,University of Florida,FLA,730168320,Florida,BBC,L,L,991,248,66,0.419,0.565,0.486,8,35,8.20%,18.40%,93.9,95.4,113.8,121.7,15.2,33.30%,23.70%,49.00%,79.90%,87.80%,41.40%,10.30%,21.00%,0.262,33%,0.821
29,1083745792,P. Carr,Peyton Carr,Carr,Peyton,IF,High Point University,HP,730321152,High Point,BBC,R,R,446,103,27,0.408,0.55,0.43,5,13,9.70%,14.50%,95.2,95.3,106.3,109.4,22.3,40.60%,34.40%,39.90%,70.50%,84.60%,17.70%,6.10%,15.20%,0.629,15%,0.184
30,1141531136,C. Collins,Corey Collins,Collins,Corey,C,University of Georgia,UGA,226,Georgia,BBC,L,R,1044,158,52,0.354,0.549,0.523,6,20,13.10%,23.00%,90.9,91.4,108.7,112.8,25.7,36.30%,23.40%,34.60%,65.00%,87.10%,18.90%,7.20%,20.80%,0.572,42%,0.236
31,1207764736,N. Schubart,Nolan Schubart,Schubart,Nolan,RF,Oklahoma State University,OKST,4245,Oklahoma State,BBC,L,R,966,173,49,0.37,0.545,0.529,10,23,27.40%,21.70%,97.4,98.9,111.6,115,20.5,48.90%,36.40%,39.40%,65.90%,70.20%,19.70%,14.60%,37.00%,0.958,37%,0.844
32,1165893632,S. Keys,Sean Keys,Keys,Sean,IF,Bucknell University,BUCK,730214144,Bucknell,BBC,L,R,723,164,46,0.402,0.54,0.447,19,13,12.20%,16.40%,92.7,92.9,107.5,111.3,17.6,38.50%,30.80%,38.00%,66.90%,88.00%,19.50%,5.90%,15.60%,0.593,20%,0.28
33,1296557568,A. Perrotta,Antonio Perrotta,Perrotta,Antonio,1B,University of Virginia,UVA,5415,Virginia,BBC,L,L,48,11,13,0.455,0.536,0.397,0,1,15.40%,15.40%,89.9,91,99.9,100.4,11.1,28.60%,0.00%,47.90%,86.70%,76.90%,20.00%,10.40%,21.70%,0.139,-,-
34,1314887424,D. Burress,Drew Burress,Burress,Drew,CF,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,1113,218,58,0.381,0.535,0.434,15,25,13.00%,20.40%,92.6,92.3,107.8,113.8,16.2,33.80%,29.10%,36.10%,62.30%,87.40%,17.20%,6.60%,18.20%,0.704,21%,0.339
35,1296185088,A. Huerta,Arjun Huerta,Huerta,Arjun,LF,Jackson State University,JKST,730378240,Jackson State,BBC,L,L,115,41,15,0.463,0.535,0.209,5,2,6.00%,12.00%,82.7,-,101,-,-17.6,0.00%,0.00%,48.70%,75.00%,100.00%,33.30%,6.10%,12.50%,-,-,-
36,1249055488,C. Kaiser,Connor Kaiser,Kaiser,Connor,1B,Lamar University,LAM,730162432,Lamar,BBC,L,R,18,3,16,0.333,0.535,0.285,1,0,0.00%,20.00%,-,-,-,-,-,-,-,27.80%,-,100.00%,0.00%,0.00%,0.00%,-,-,-
37,1297541376,C. McAnelly,Colter McAnelly,McAnelly,Colter,P,University of Utah,UTAH,730328320,Utah,BBC,R,R,14,4,17,0.5,0.535,0.225,1,0,25.00%,0.00%,102.7,-,102.7,102.7,3.7,0.00%,0.00%,35.70%,50.00%,100.00%,0.00%,0.00%,0.00%,-,-,-
38,1152914688,K. Vu,Kien Vu,Vu,Kien,RF,Arizona State University,ASU,5035,Arizona State,BBC,L,L,616,150,45,0.413,0.533,0.408,11,14,24.20%,11.80%,90.7,95.3,107.3,109.3,11.6,37.50%,29.70%,47.40%,69.30%,82.50%,31.60%,13.30%,28.10%,0.756,41%,0.321
39,1233599744,C. Arbolida,Cary Arbolida,Arbolida,Cary,OF,University of Houston,HOU,3030,Houston,BBC,R,R,560,131,45,0.359,0.533,0.458,9,17,22.60%,10.10%,92.9,95.5,109.3,113.3,16.3,32.90%,27.80%,47.10%,73.00%,81.90%,28.30%,15.20%,32.20%,1.176,45%,0.686
40,1237834496,R. Kuntz,Roman Kuntz,Kuntz,Roman,OF,Morehead State University,MORE,730158080,Morehead State,BBC,L,R,1044,235,61,0.366,0.533,0.407,15,33,11.40%,16.70%,92.7,92.6,105,111,27.2,27.50%,21.10%,43.90%,79.60%,86.90%,26.40%,8.50%,19.40%,0.335,67%,-
41,1236935168,K. Ewell,Kendall Ewell,Ewell,Kendall,OF,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,936,210,55,0.39,0.53,0.464,20,21,21.20%,13.70%,96.3,101.7,108.6,114.3,12.8,40.40%,30.30%,41.80%,67.10%,83.00%,19.50%,12.20%,29.20%,0.541,20%,1.491
42,1142625280,J. Christian,Jakob Christian,Christian,Jakob,RF,University of San Diego,USD,5320,San Diego,BBC,R,R,855,198,51,0.364,0.524,0.461,14,26,20.00%,11.90%,90.7,93.3,106.7,113.4,20.3,36.40%,24.30%,47.50%,73.80%,78.50%,29.40%,15.10%,31.80%,0.669,36%,0.715
43,1213817600,J. Bay,John Bay,Bay,John,CF,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,903,208,55,0.365,0.524,0.437,20,24,21.30%,13.20%,93.7,94.4,107.7,113.1,19.8,26.70%,22.50%,42.50%,69.80%,85.90%,25.30%,11.10%,26.00%,0.362,68%,0.166
44,1115419904,J. Bergman,Jackson Bergman,Bergman,Jackson,P,University of Toledo,TOL,5388,Toledo,BBC,L,R,22,1,20,0,0.523,0.523,0,0,25.00%,75.00%,-,-,-,-,-,-,-,13.60%,-,100.00%,-,13.60%,100.00%,-,-,-
45,1202724608,J. Dragoo,Joel Dragoo,Dragoo,Joel,IF,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,953,197,56,0.401,0.522,0.414,20,18,13.00%,16.90%,91.5,92.8,104.6,110.6,18.4,43.20%,26.60%,40.30%,71.60%,85.60%,22.30%,7.50%,18.50%,0.212,26%,0.465
46,1263770368,T. MacGregor,Tyler MacGregor,MacGregor,Tyler,1B,Northeastern University,NE,343,Northeastern,BBC,L,R,1020,234,55,0.402,0.521,0.376,29,19,14.20%,11.70%,90.5,96.3,104.3,106.2,10.7,34.90%,25.40%,43.40%,71.60%,82.00%,27.00%,7.90%,18.30%,0.476,0%,0
47,1310536960,J. Guerrero,Jack Guerrero,Guerrero,Jack,3B,James Madison University,JMU,730340096,James Madison,BBC,L,R,78,14,12,0.5,0.52,0.296,1,0,27.80%,22.20%,88.6,86,97.3,97.3,9,28.60%,14.30%,33.30%,60.70%,88.20%,15.00%,10.30%,30.80%,-,-,-
48,1332656128,L. Harrill,Lawson Harrill,Harrill,Lawson,OF,Campbell University,CAMP,730187776,Campbell,BBC,R,R,1059,202,53,0.351,0.519,0.437,17,23,23.70%,14.90%,92.6,97.5,106.4,111.7,19.6,43.20%,27.90%,39.70%,66.90%,76.30%,20.00%,11.70%,29.50%,0.771,38%,1.249
49,1192609792,N. Kurtz,Nick Kurtz,Kurtz,Nick,OF,Wake Forest University,WAKE,730373376,Wake Forest,BBC,L,L,1150,173,54,0.306,0.518,0.454,11,22,16.20%,30.00%,94.4,96.9,111.2,115.3,21.5,30.30%,21.30%,31.80%,56.20%,85.40%,18.00%,6.70%,21.00%,0.483,42%,0.274
50,1185815552,B. Tolley,Banks Tolley,Tolley,Banks,OF,Appalachian State University,APP,730240256,Appalachian State,BBC,R,R,981,224,55,0.379,0.517,0.48,12,26,16.70%,12.00%,92.5,91.4,110.1,113.6,15.7,30.90%,27.30%,42.80%,68.00%,83.60%,27.10%,9.70%,22.60%,0.563,29%,0.413
51,1142708224,C. Moore,Christian Moore,Moore,Christian,IF,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,1343,296,72,0.375,0.517,0.456,19,34,14.50%,11.30%,96.3,98.5,112,117.4,15.3,36.50%,29.00%,46.90%,75.00%,83.90%,24.00%,10.40%,22.20%,0.728,34%,0.767
52,1197247744,N. Libed,Nico Libed,Libed,Nico,LF,University of San Diego,USD,5320,San Diego,BBC,R,R,50,9,10,0.444,0.516,0.36,2,0,18.20%,18.20%,83.1,85.9,96.9,96.9,21.1,80.00%,20.00%,28.00%,47.60%,80.00%,7.70%,6.00%,21.40%,-,-,-
53,1217955328,K. Diaw,Khadim Diaw,Diaw,Khadim,C,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,306,81,20,0.432,0.514,0.429,8,3,10.80%,4.30%,86.5,88.7,105.9,107.8,15.9,45.50%,20.50%,48.00%,65.90%,87.00%,37.40%,10.80%,22.40%,1.359,33%,0.254
54,1139938560,A. Kryszczuk,Austin Kryszczuk,Kryszczuk,Austin,OF,UNLV,UNLV,730161664,UNLV,BBC,R,L,927,200,52,0.37,0.513,0.399,20,19,13.50%,12.70%,89.2,92.6,103.7,108.8,18.7,30.60%,18.00%,41.60%,64.20%,82.30%,25.70%,8.20%,19.70%,0.085,0%,0.495
55,1263483392,T. Cotten,Tyler Cotten,Cotten,Tyler,C,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,337,84,24,0.369,0.512,0.387,7,10,16.30%,10.60%,93.4,92.4,105.5,107.1,13.5,31.80%,27.30%,49.90%,78.60%,75.80%,34.90%,15.10%,30.40%,0.952,50%,0
56,1142560256,I. Farrow,Ian Farrow,Farrow,Ian,OF,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,R,R,951,176,47,0.375,0.512,0.39,17,15,21.20%,16.50%,91.7,96.7,105.6,112.5,18.3,35.20%,23.90%,38.70%,70.70%,84.50%,23.00%,9.10%,23.60%,0.787,43%,0.192
57,1204029184,J. Tibbs,James Tibbs,Tibbs,James,1B,Florida State University,FSU,101,Florida State,BBC,L,L,1244,251,66,0.363,0.512,0.491,18,28,11.60%,18.10%,94.1,96,108.1,114,16.1,36.40%,26.60%,43.00%,77.60%,82.60%,20.30%,9.20%,21.50%,0.981,23%,0.503
58,1268751104,A. Corbett,Austin Corbett,Corbett,Austin,LF,New Mexico State University,NMSU,730302720,New Mexico State,BBC,R,R,101,22,16,0.455,0.511,0.367,4,0,17.90%,14.30%,81.4,92,101.7,102.6,7.6,33.30%,20.00%,47.50%,73.70%,89.30%,32.10%,10.90%,22.90%,0.755,50%,0.991
59,1198100736,D. Needham,Drew Needham,Needham,Drew,IF,Western Carolina University,WCU,730278144,Western Carolina,BBC,L,R,654,121,46,0.306,0.508,0.471,11,16,25.90%,19.10%,93.9,95.3,110.2,113.4,26.7,45.60%,35.10%,32.40%,56.80%,84.10%,16.20%,8.30%,25.50%,0.287,50%,0.031
60,1166283008,M. Quatrani,Mark Quatrani,Quatrani,Mark,C,Cornell University,COR,730298624,Cornell,BBC,R,R,467,105,30,0.362,0.506,0.384,2,11,14.40%,12.10%,87.8,96,104.7,110.5,8.7,38.90%,22.20%,49.50%,78.10%,81.70%,22.60%,11.30%,22.90%,0.36,-,0
61,1263767040,C. Sisneros,Cameron Sisneros,Sisneros,Cameron,1B,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,L,L,957,215,56,0.367,0.506,0.365,16,23,7.40%,18.00%,91.6,93.7,105.5,110.1,10,36.50%,17.50%,38.20%,72.80%,92.50%,16.50%,4.30%,11.20%,0.215,13%,0.182
62,1330961920,N. Roselli,Nick Roselli,Roselli,Nick,2B,Binghamton University,BING,730155776,Binghamton,BBC,L,R,511,104,27,0.385,0.505,0.44,12,8,16.40%,16.40%,92.3,90.9,108.2,112.3,17.9,52.60%,31.60%,41.10%,74.20%,87.50%,26.50%,8.40%,20.50%,0.312,100%,-
63,1267781888,L. Loos,Lucas Loos,Loos,Lucas,IF,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,727,211,53,0.37,0.505,0.392,22,23,14.50%,10.80%,91.2,90.6,107.2,110.5,23.2,34.40%,28.10%,42.60%,66.30%,89.80%,30.50%,6.30%,14.80%,0.918,0%,1.002
64,1134099456,C. Almanza,Christian Almanza,Almanza,Christian,1B,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,L,L,969,207,56,0.343,0.503,0.404,16,24,17.60%,15.30%,92.1,95.4,103.6,109.7,19.2,43.90%,31.60%,42.80%,73.00%,87.50%,25.20%,10.00%,23.40%,0.506,50%,0.344
65,1133616896,J. Holland,Jake Holland,Holland,Jake,C,University of New Mexico,UNM,730153472,New Mexico,BBC,R,R,663,168,44,0.381,0.503,0.428,15,17,15.00%,10.00%,87.8,88.4,105.3,109.1,18.9,35.40%,18.80%,48.30%,76.60%,85.10%,29.70%,10.10%,20.90%,0.867,41%,0.485
66,1281481473,B. Gayan,Bryce Gayan,Gayan,Bryce,RF,Princeton University,PRIN,730198784,Princeton,BBC,R,R,100,14,15,0.357,0.502,0.4,1,0,11.10%,29.60%,68.4,68.6,78.2,88.9,12.9,16.70%,0.00%,23.00%,38.10%,75.00%,10.00%,6.00%,26.10%,-,-,-
67,1262647552,W. Henseler,Wyatt Henseler,Henseler,Wyatt,3B,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,901,200,49,0.365,0.502,0.446,9,22,11.40%,11.40%,89.5,89.8,106.4,110.8,17.3,35.00%,23.60%,43.50%,67.90%,91.40%,26.50%,7.30%,16.80%,0.399,45%,0.43
68,1074064384,B. Rounds,Ben Rounds,Rounds,Ben,LF,Harvard University,HARV,5450,Harvard,BBC,L,R,709,149,39,0.403,0.502,0.368,16,8,13.90%,15.60%,90.9,92.7,106,112.4,0.7,30.80%,22.00%,39.90%,68.30%,89.00%,20.90%,7.90%,19.80%,0.377,25%,0.563
69,1341650944,T. Poole,Tom Poole,Poole,Tom,LF,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,L,R,852,159,49,0.352,0.497,0.391,13,13,24.60%,16.30%,93,95.6,108.2,112.6,15.9,45.20%,33.30%,38.30%,64.90%,77.90%,19.60%,12.30%,32.20%,0.43,56%,0.276
70,1136002816,M. Halbach,Matt Halbach,Halbach,Matt,OF,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,328,71,19,0.408,0.497,0.151,9,3,13.60%,12.50%,58.4,46.3,70.5,46.3,6.4,0.00%,0.00%,40.20%,16.70%,50.00%,11.10%,8.50%,21.20%,0.096,-,-
71,1291393792,M. Shallenberger,Mark Shallenberger,Shallenberger,Mark,OF,University of Evansville,EVAN,730327808,Evansville,BBC,L,L,1204,243,65,0.37,0.497,0.386,21,17,8.80%,14.10%,88,89.8,104.4,108.9,17.2,31.70%,22.80%,36.70%,60.50%,93.70%,18.80%,4.50%,12.20%,0.344,0%,0.718
72,1237268224,J. Williams,Jordan Williams,Williams,Jordan,OF,Florida State University,FSU,101,Florida State,BBC,S,R,132,23,21,0.435,0.497,0.382,2,0,9.40%,21.90%,81.1,78,101.7,107.1,19.3,35.70%,21.40%,42.40%,67.70%,95.20%,23.80%,7.60%,17.90%,0.012,-,-
73,1176418560,M. Smith,Myles Smith,Smith,Myles,OF,UC Irvine,UCI,3031,UC Irvine,BBC,L,R,1007,182,48,0.401,0.495,0.412,13,10,12.40%,20.70%,89.1,85.8,107.1,108.8,3.8,23.20%,19.60%,29.60%,46.80%,91.80%,15.20%,4.10%,13.80%,1.025,25%,0.48
74,1245585664,J. Rubalcava,Jose Rubalcava,Rubalcava,Jose,IF,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,98,23,17,0.391,0.494,0.29,2,0,18.20%,15.20%,83,-,83,83,5.8,0.00%,0.00%,37.80%,75.00%,66.70%,14.30%,10.20%,27.00%,-,-,-
75,1203294976,A. Makarewicz,Alec Makarewicz,Makarewicz,Alec,IF,North Carolina State University,NCST,730216448,North Carolina State,BBC,S,R,1014,259,61,0.378,0.493,0.369,25,24,17.20%,9.00%,92.5,89.8,108.5,112.5,18.8,35.00%,24.90%,54.70%,83.20%,84.10%,34.30%,12.90%,23.60%,0.645,31%,0.621
76,1256896256,E. Alvarez,Edgar Alvarez,Alvarez,Edgar,IF,Nicholls State University,NICH,730284032,Nicholls State,BBC,L,R,1132,228,58,0.404,0.493,0.4,21,13,11.10%,18.40%,94.2,92,107.3,110.5,7.9,30.90%,25.50%,41.50%,69.20%,91.40%,22.50%,7.20%,17.20%,0.171,54%,0.681
77,1078107136,A. Neaves,Avery Neaves,Neaves,Avery,LF,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,1094,207,55,0.338,0.492,0.383,25,15,24.20%,16.60%,89.7,90.9,105.1,110.2,23.5,43.50%,29.80%,36.70%,66.80%,80.20%,14.90%,10.00%,27.10%,0.793,59%,0.072
78,1119800832,M. Martinez II,Matthew Martinez II,Martinez II,Matthew,C,High Point University,HP,730321152,High Point,BBC,R,R,72,13,12,0.385,0.492,0.431,0,1,10.00%,15.00%,65.8,73.6,90.6,94.8,10.1,12.50%,0.00%,40.30%,63.30%,84.20%,22.00%,11.10%,27.60%,-,-,-
79,1310945536,J. Snyder,Jack Snyder,Snyder,Jack,RF,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,64,15,13,0.267,0.492,0.425,0,3,17.60%,11.80%,89,90.1,104.8,109.6,38,20.00%,20.00%,48.40%,75.00%,85.70%,25.00%,12.50%,25.80%,-,100%,-
80,1139712512,J. Greenwell,Julian Greenwell,Greenwell,Julian,u,Wright State University,WRST,5390,Wright State,BBC,L,L,683,183,45,0.399,0.492,0.406,20,11,7.30%,9.50%,91.5,91.9,104.8,107.9,18,37.60%,27.70%,47.00%,76.60%,91.50%,23.10%,6.70%,14.30%,0.308,14%,0.398
81,1310273536,J. Thomason,Jay Thomason,Thomason,Jay,IF,Air Force Academy,AFA,730205440,Air Force,BBC,L,R,942,215,55,0.358,0.492,0.425,14,21,26.60%,11.60%,90.1,94.2,108.4,114.1,20.8,35.70%,25.70%,49.20%,75.40%,73.70%,36.40%,14.50%,29.60%,0.137,13%,0.004
82,1237547008,K. Jones II,Keith Jones II,Jones II,Keith,OF,New Mexico State University,NMSU,730302720,New Mexico State,BBC,L,L,1061,221,54,0.367,0.491,0.4,19,17,17.50%,13.00%,93,92.9,108,112.1,8.5,36.60%,25.40%,36.00%,59.80%,86.40%,18.20%,7.00%,19.40%,0.326,29%,1.172
83,1145239552,W. Janek,Walker Janek,Janek,Walker,C,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,R,R,1045,221,58,0.367,0.49,0.396,15,17,16.60%,14.80%,93,95.7,105.5,110.1,18.5,25.90%,24.10%,43.00%,72.40%,88.90%,26.30%,9.60%,22.30%,0.365,38%,0.544
84,1212099072,L. McFadden-Ackman,Liam McFadden-Ackman,McFadden-Ackman,Liam,IF,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,1021,228,59,0.351,0.489,0.312,15,22,19.80%,19.80%,92.4,97.2,106,114.5,14.3,20.00%,12.50%,35.90%,54.30%,72.70%,29.20%,7.60%,21.30%,0.618,50%,0.06
85,1084033024,J. Jenkins,Jeremiah Jenkins,Jenkins,Jeremiah,1B,University of Maine,ME,730275840,Maine,BBC,L,L,684,185,49,0.341,0.488,0.216,12,22,15.10%,15.60%,89.3,86.1,111,111.4,16.8,8.30%,0.00%,45.90%,74.30%,84.60%,38.60%,8.50%,18.50%,0.324,-,-
